ID_grid,idx,ID,yearID,frac_minus2,frac_minus1,frac_current,frac_plus1,fracLag_minus2,fracLag_minus1,fracLag_current,fracLag_plus1,clust_minus2,clust_minus1,clust_current,clust_plus1,data_split
1,1,206436,2012,0,0,0,0,0.025641025641025644,0,0.027777777777777776,0.02777777777777778,0,0,0,0,test
1,1,206436,2013,0,0,0,0,0,0.027777777777777776,0.02777777777777778,0.03070175438596491,0,0,0,0,test
1,1,206436,2014,0,0,0,0,0.027777777777777776,0.02777777777777778,0.03070175438596491,0.043478260869565216,0,0,0,0,test
1,1,206436,2015,0,0,0,0,0.02777777777777778,0.03070175438596491,0.043478260869565216,0.030701754385964914,0,0,0,0,test
1,1,206436,2016,0,0,0,0,0.03070175438596491,0.043478260869565216,0.030701754385964914,0.0029498525073746317,0,0,0,0,test
2,2,206464,2012,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,2,206464,2013,0,0,0,0,0,0,0,0.005263157894736842,0,0,0,0,valid
2,2,206464,2014,0,0,0,0,0,0,0.005263157894736842,0.004347826086956522,0,0,0,0,valid
2,2,206464,2015,0,0,0,0,0,0.005263157894736842,0.004347826086956522,0,0,0,0,0,valid
2,2,206464,2016,0,0,0,0,0.005263157894736842,0.004347826086956522,0,0,0,0,0,0,valid
3,3,206476,2012,0,0,0,0,0.020512820512820516,0,0.01666666666666667,0.01666666666666667,0,0,0,0,test
3,3,206476,2013,0,0,0,0,0,0.01666666666666667,0.01666666666666667,0.021052631578947368,0,0,0,0,test
3,3,206476,2014,0,0,0,0,0.01666666666666667,0.01666666666666667,0.021052631578947368,0.026086956521739132,0,0,0,0,test
3,3,206476,2015,0,0,0,0,0.01666666666666667,0.021052631578947368,0.026086956521739132,0.01842105263157895,0,0,0,0,test
3,3,206476,2016,0,0,0,0,0.021052631578947368,0.026086956521739132,0.01842105263157895,0.0017699115044247792,0,0,0,0,test
4,4,206492,2012,0,0,0,0,0,0,0,0,0,0,0,0,train
4,4,206492,2013,0,0,0,0,0,0,0,0.002631578947368421,0,0,0,0,train
4,4,206492,2014,0,0,0,0,0,0,0.002631578947368421,0.004347826086956522,0,0,0,0,train
4,4,206492,2015,0,0,0,0,0,0.002631578947368421,0.004347826086956522,0,0,0,0,0,train
4,4,206492,2016,0,0,0,0,0.002631578947368421,0.004347826086956522,0,0,0,0,0,0,train
5,5,206505,2012,0,0,0,0,0,0,0,0,0,0,0,0,train
5,5,206505,2013,0,0,0,0,0,0,0,0.003289473684210526,0,0,0,0,train
5,5,206505,2014,0,0,0,0,0,0,0.003289473684210526,0.005434782608695652,0,0,0,0,train
5,5,206505,2015,0,0,0,0,0,0.003289473684210526,0.005434782608695652,0,0,0,0,0,train
5,5,206505,2016,0,0,0,0,0.003289473684210526,0.005434782608695652,0,0,0,0,0,0,train
6,6,206602,2012,0,0,0,0,0,0,0,0,0,0,0,0,train
6,6,206602,2013,0,0,0,0,0,0,0,0.003289473684210526,0,0,0,0,train
6,6,206602,2014,0,0,0,0,0,0,0.003289473684210526,0,0,0,0,0,train
6,6,206602,2015,0,0,0,0,0,0.003289473684210526,0,0,0,0,0,0,train
6,6,206602,2016,0,0,0,0,0.003289473684210526,0,0,0,0,0,0,0,train
7,7,206819,2012,0,0,0,0,0.025641025641025644,0,0.008333333333333335,0.006944444444444444,0,0,0,0,train
7,7,206819,2013,0,0,0,0,0,0.008333333333333335,0.006944444444444444,0,0,0,0,0,train
7,7,206819,2014,0,0,0,0,0.008333333333333335,0.006944444444444444,0,0,0,0,0,0,train
7,7,206819,2015,0,0,0,0,0.006944444444444444,0,0,0.0032894736842105266,0,0,0,0,train
7,7,206819,2016,0,0,0,0,0,0,0.0032894736842105266,0.004424778761061948,0,0,0,0,train
8,8,207002,2012,0,0,0,0,0.019230769230769232,0,0.012499999999999999,0.010416666666666668,0,0,0,0,train
8,8,207002,2013,0,0,0,0,0,0.012499999999999999,0.010416666666666668,0.013157894736842105,0,0,0,0,train
8,8,207002,2014,0,0,0,0,0.012499999999999999,0.010416666666666668,0.013157894736842105,0.024456521739130436,0,0,0,0,train
8,8,207002,2015,0,0,0,0,0.010416666666666668,0.013157894736842105,0.024456521739130436,0.016447368421052634,0,0,0,0,train
8,8,207002,2016,0,0,0,0,0.013157894736842105,0.024456521739130436,0.016447368421052634,0,0,0,0,0,train
9,9,207028,2012,0,0,0,0,0.004273504273504274,0,0,0.004629629629629629,0,0,0,0,train
9,9,207028,2013,0,0,0,0,0,0,0.004629629629629629,0.0021929824561403508,0,0,0,0,train
9,9,207028,2014,0,0,0,0,0,0.004629629629629629,0.0021929824561403508,0.005434782608695652,0,0,0,0,train
9,9,207028,2015,0,0,0,0,0.004629629629629629,0.0021929824561403508,0.005434782608695652,0,0,0,0,0,train
9,9,207028,2016,0,0,0,0,0.0021929824561403508,0.005434782608695652,0,0,0,0,0,0,train
10,10,207040,2012,0,0,0,0,0.008547008547008548,0,0,0.004629629629629629,0,0,0,0,train
10,10,207040,2013,0,0,0,0,0,0,0.004629629629629629,0.0021929824561403508,0,0,0,0,train
10,10,207040,2014,0,0,0,0,0,0.004629629629629629,0.0021929824561403508,0,0,0,0,0,train
10,10,207040,2015,0,0,0,0,0.004629629629629629,0.0021929824561403508,0,0,0,0,0,0,train
10,10,207040,2016,0,0,0,0,0.0021929824561403508,0,0,0,0,0,0,0,train
11,11,207078,2012,0,0,0,0,0,0,0.002380952380952381,0,0,0,0,0,train
11,11,207078,2013,0,0,0,0,0,0.002380952380952381,0,0.0018796992481203006,0,0,0,0,train
11,11,207078,2014,0,0,0,0,0.002380952380952381,0,0.0018796992481203006,0,0,0,0,0,train
11,11,207078,2015,0,0,0,0,0,0.0018796992481203006,0,0,0,0,0,0,train
11,11,207078,2016,0,0,0,0,0.0018796992481203006,0,0,0,0,0,0,0,train
12,12,207094,2012,0.05128205128205129,0,0.049999999999999996,0.04166666666666667,0.03525641025641026,0,0.008333333333333335,0.020833333333333336,0,0,0,0,test
12,12,207094,2013,0,0.049999999999999996,0.04166666666666667,0.039473684210526314,0,0.008333333333333335,0.020833333333333336,0.024671052631578948,0,0,0,1,test
12,12,207094,2014,0.049999999999999996,0.04166666666666667,0.039473684210526314,0.09782608695652174,0.008333333333333335,0.020833333333333336,0.024671052631578948,0.008152173913043478,0,0,1,1,test
12,12,207094,2015,0.04166666666666667,0.039473684210526314,0.09782608695652174,0.06578947368421054,0.020833333333333336,0.024671052631578948,0.008152173913043478,0.006578947368421053,0,1,1,1,test
12,12,207094,2016,0.039473684210526314,0.09782608695652174,0.06578947368421054,0,0.024671052631578948,0.008152173913043478,0.006578947368421053,0.002212389380530974,1,1,1,0,test
13,13,207110,2012,0,0,0,0,0,0,0.006666666666666668,0.005555555555555556,0,0,0,0,train
13,13,207110,2013,0,0,0,0,0,0.006666666666666668,0.005555555555555556,0,0,0,0,0,train
13,13,207110,2014,0,0,0,0,0.006666666666666668,0.005555555555555556,0,0.006521739130434783,0,0,0,0,train
13,13,207110,2015,0,0,0,0,0.005555555555555556,0,0.006521739130434783,0.005263157894736843,0,0,0,0,train
13,13,207110,2016,0,0,0,0,0,0.006521739130434783,0.005263157894736843,0,0,0,0,0,train
14,14,207121,2012,0.025641025641025644,0,0,0,0.029304029304029304,0,0.009523809523809523,0.017857142857142856,0,0,0,0,train
14,14,207121,2013,0,0,0,0.013157894736842105,0,0.009523809523809523,0.017857142857142856,0.02443609022556391,0,0,0,0,train
14,14,207121,2014,0,0,0.013157894736842105,0,0.009523809523809523,0.017857142857142856,0.02443609022556391,0.015527950310559006,0,0,0,0,train
14,14,207121,2015,0,0.013157894736842105,0,0,0.017857142857142856,0.02443609022556391,0.015527950310559006,0.009398496240601505,0,0,0,0,train
14,14,207121,2016,0.013157894736842105,0,0,0,0.02443609022556391,0.015527950310559006,0.009398496240601505,0,0,0,0,0,train
15,15,207149,2012,0,0,0,0,0,0,0,0.001736111111111111,0,0,0,0,valid
15,15,207149,2013,0,0,0,0,0,0,0.001736111111111111,0.003289473684210526,0,0,0,0,valid
15,15,207149,2014,0,0,0,0.021739130434782608,0,0.001736111111111111,0.003289473684210526,0.005434782608695652,0,0,0,0,valid
15,15,207149,2015,0,0,0.021739130434782608,0,0.001736111111111111,0.003289473684210526,0.005434782608695652,0,0,0,0,0,valid
15,15,207149,2016,0,0.021739130434782608,0,0,0.003289473684210526,0.005434782608695652,0,0.002212389380530974,0,0,0,0,valid
16,16,207150,2012,0,0,0,0,0,0,0.0020833333333333337,0,0,0,0,0,train
16,16,207150,2013,0,0,0,0.013157894736842105,0,0.0020833333333333337,0,0,0,0,0,0,train
16,16,207150,2014,0,0,0.013157894736842105,0,0.0020833333333333337,0,0,0.004076086956521739,0,0,0,0,train
16,16,207150,2015,0,0.013157894736842105,0,0,0,0,0.004076086956521739,0,0,0,0,0,train
16,16,207150,2016,0.013157894736842105,0,0,0,0,0.004076086956521739,0,0.002212389380530974,0,0,0,0,train
17,17,207175,2012,0,0,0,0,0,0,0.012500000000000002,0.010416666666666666,0,0,0,0,train
17,17,207175,2013,0,0,0,0,0,0.012500000000000002,0.010416666666666666,0,0,0,0,0,train
17,17,207175,2014,0,0,0,0,0.012500000000000002,0.010416666666666666,0,0.008152173913043478,0,0,0,0,train
17,17,207175,2015,0,0,0,0,0.010416666666666666,0,0.008152173913043478,0.006578947368421053,0,0,0,0,train
17,17,207175,2016,0,0,0,0,0,0.008152173913043478,0.006578947368421053,0,0,0,0,0,train
18,18,207190,2012,0,0,0,0,0.003663003663003663,0,0,0.001984126984126984,0,0,0,0,train
18,18,207190,2013,0,0,0,0.013157894736842105,0,0,0.001984126984126984,0,0,0,0,0,train
18,18,207190,2014,0,0,0.013157894736842105,0,0,0.001984126984126984,0,0.009316770186335402,0,0,0,0,train
18,18,207190,2015,0,0.013157894736842105,0,0,0.001984126984126984,0,0.009316770186335402,0,0,0,0,0,train
18,18,207190,2016,0.013157894736842105,0,0,0,0,0.009316770186335402,0,0.0025284450063211127,0,0,0,0,train
19,19,207191,2012,0,0,0,0,0,0,0.0041666666666666675,0,0,0,0,0,test
19,19,207191,2013,0,0,0,0,0,0.0041666666666666675,0,0,0,0,0,0,test
19,19,207191,2014,0,0,0,0,0.0041666666666666675,0,0,0,0,0,0,0,test
19,19,207191,2015,0,0,0,0,0,0,0,0,0,0,0,0,test
19,19,207191,2016,0,0,0,0,0,0,0,0,0,0,0,0,test
20,20,207202,2012,0,0,0,0,0.017094017094017096,0,0.005555555555555557,0.011574074074074073,0,0,0,0,valid
20,20,207202,2013,0,0,0,0,0,0.005555555555555557,0.011574074074074073,0,0,0,0,0,valid
20,20,207202,2014,0,0,0,0,0.005555555555555557,0.011574074074074073,0,0.003623188405797101,0,0,0,0,valid
20,20,207202,2015,0,0,0,0,0.011574074074074073,0,0.003623188405797101,0.005482456140350877,0,0,0,0,valid
20,20,207202,2016,0,0,0,0,0,0.003623188405797101,0.005482456140350877,0.0014749262536873158,0,0,0,0,valid
21,21,207259,2012,0.05128205128205129,0,0.01666666666666667,0.013888888888888888,0.010256410256410258,0,0.006666666666666668,0.011111111111111112,0,0,0,0,train
21,21,207259,2013,0,0.01666666666666667,0.013888888888888888,0,0,0.006666666666666668,0.011111111111111112,0,0,0,0,0,train
21,21,207259,2014,0.01666666666666667,0.013888888888888888,0,0,0.006666666666666668,0.011111111111111112,0,0.004347826086956522,0,0,0,0,train
21,21,207259,2015,0.013888888888888888,0,0,0.006578947368421053,0.011111111111111112,0,0.004347826086956522,0.005263157894736843,0,0,0,0,train
21,21,207259,2016,0,0,0.006578947368421053,0.008849557522123895,0,0.004347826086956522,0.005263157894736843,0,0,0,0,0,train
22,22,207301,2012,0,0,0,0,0.005128205128205129,0,0,0.008333333333333333,0,0,0,0,valid
22,22,207301,2013,0,0,0,0,0,0,0.008333333333333333,0,0,0,0,0,valid
22,22,207301,2014,0,0,0,0,0,0.008333333333333333,0,0,0,0,0,0,valid
22,22,207301,2015,0,0,0,0,0.008333333333333333,0,0,0.0026315789473684214,0,0,0,0,valid
22,22,207301,2016,0,0,0,0,0,0,0.0026315789473684214,0,0,0,0,0,valid
23,23,207355,2012,0.025641025641025644,0,0.03333333333333334,0.04166666666666667,0.042735042735042736,0,0.016666666666666666,0.027777777777777776,0,0,0,0,train
23,23,207355,2013,0,0.03333333333333334,0.04166666666666667,0.05263157894736842,0,0.016666666666666666,0.027777777777777776,0.03289473684210526,0,0,0,1,train
23,23,207355,2014,0.03333333333333334,0.04166666666666667,0.05263157894736842,0.03260869565217391,0.016666666666666666,0.027777777777777776,0.03289473684210526,0.02355072463768116,0,0,1,1,train
23,23,207355,2015,0.04166666666666667,0.05263157894736842,0.03260869565217391,0.026315789473684213,0.027777777777777776,0.03289473684210526,0.02355072463768116,0.015350877192982457,0,1,1,1,train
23,23,207355,2016,0.05263157894736842,0.03260869565217391,0.026315789473684213,0.008849557522123895,0.03289473684210526,0.02355072463768116,0.015350877192982457,0.0014749262536873158,1,1,1,0,train
24,24,207560,2012,0.05128205128205129,0,0.01666666666666667,0.013888888888888888,0.04395604395604395,0,0.011904761904761906,0.04365079365079365,0,0,0,0,train
24,24,207560,2013,0,0.01666666666666667,0.013888888888888888,0,0,0.011904761904761906,0.04365079365079365,0.03759398496240601,0,0,0,0,train
24,24,207560,2014,0.01666666666666667,0.013888888888888888,0,0.021739130434782608,0.011904761904761906,0.04365079365079365,0.03759398496240601,0.021739130434782608,0,0,0,0,train
24,24,207560,2015,0.013888888888888888,0,0.021739130434782608,0.013157894736842106,0.04365079365079365,0.03759398496240601,0.021739130434782608,0.016917293233082706,0,0,0,0,train
24,24,207560,2016,0,0.021739130434782608,0.013157894736842106,0,0.03759398496240601,0.021739130434782608,0.016917293233082706,0.007585335018963338,0,0,0,0,train
25,25,207573,2012,0,0,0,0.027777777777777776,0.022435897435897436,0,0.010416666666666668,0.017361111111111112,0,0,0,0,valid
25,25,207573,2013,0,0,0.027777777777777776,0,0,0.010416666666666668,0.017361111111111112,0.008223684210526315,0,0,0,0,valid
25,25,207573,2014,0,0.027777777777777776,0,0,0.010416666666666668,0.017361111111111112,0.008223684210526315,0.008152173913043478,0,0,0,0,valid
25,25,207573,2015,0.027777777777777776,0,0,0.013157894736842106,0.017361111111111112,0.008223684210526315,0.008152173913043478,0.007401315789473685,0,0,0,0,valid
25,25,207573,2016,0,0,0.013157894736842106,0,0.008223684210526315,0.008152173913043478,0.007401315789473685,0.004424778761061948,0,0,0,0,valid
26,26,207626,2012,0.07692307692307693,0,0.01666666666666667,0.04166666666666667,0.06593406593406594,0,0.030952380952380953,0.037698412698412696,0,0,0,0,train
26,26,207626,2013,0,0.01666666666666667,0.04166666666666667,0,0,0.030952380952380953,0.037698412698412696,0.05075187969924812,0,0,0,0,train
26,26,207626,2014,0.01666666666666667,0.04166666666666667,0,0.021739130434782608,0.030952380952380953,0.037698412698412696,0.05075187969924812,0.04503105590062112,0,0,0,0,train
26,26,207626,2015,0.04166666666666667,0,0.021739130434782608,0.026315789473684213,0.037698412698412696,0.05075187969924812,0.04503105590062112,0.028195488721804513,0,0,0,1,train
26,26,207626,2016,0,0.021739130434782608,0.026315789473684213,0.008849557522123895,0.05075187969924812,0.04503105590062112,0.028195488721804513,0.0012642225031605564,0,0,1,0,train
27,27,207627,2012,0.12820512820512822,0,0.01666666666666667,0.05555555555555555,0.0608974358974359,0,0.027083333333333334,0.036458333333333336,0,0,0,0,train
27,27,207627,2013,0,0.01666666666666667,0.05555555555555555,0.13157894736842105,0,0.027083333333333334,0.036458333333333336,0.03289473684210526,0,0,0,1,train
27,27,207627,2014,0.01666666666666667,0.05555555555555555,0.13157894736842105,0.010869565217391304,0.027083333333333334,0.036458333333333336,0.03289473684210526,0.050271739130434784,0,0,1,0,train
27,27,207627,2015,0.05555555555555555,0.13157894736842105,0.010869565217391304,0,0.036458333333333336,0.03289473684210526,0.050271739130434784,0.030427631578947373,0,1,0,0,train
27,27,207627,2016,0.13157894736842105,0.010869565217391304,0,0,0.03289473684210526,0.050271739130434784,0.030427631578947373,0.002212389380530974,1,0,0,0,train
28,28,207628,2012,0,0,0,0,0,0,0,0,0,0,0,0,train
28,28,207628,2013,0,0,0,0,0,0,0,0,0,0,0,0,train
28,28,207628,2014,0,0,0,0,0,0,0,0,0,0,0,0,train
28,28,207628,2015,0,0,0,0,0,0,0,0,0,0,0,0,train
